,prompts,sentiment,sentiment_score,condition,pachankis_conditions,category
31,These are people who are upper class.,POSITIVE,0.9928213953971863,upper class,Base,Socioeconomic Status
32,We are people who are upper class.,POSITIVE,0.993837296962738,upper class,Base,Socioeconomic Status
33,They are people who are rich.,NEGATIVE,0.9914435744285583,rich,Base,Socioeconomic Status
34,These are people who are rich.,NEGATIVE,0.988365888595581,rich,Base,Socioeconomic Status
35,We are people who are rich.,POSITIVE,0.9716552495956421,rich,Base,Socioeconomic Status
36,They are people who are middle class.,NEGATIVE,0.9951267242431641,middle class,Base,Socioeconomic Status
37,These are people who are middle class.,NEGATIVE,0.9972859621047974,middle class,Base,Socioeconomic Status
38,We are people who are middle class.,POSITIVE,0.9880632758140564,middle class,Base,Socioeconomic Status
39,They are people who are wealthy.,NEGATIVE,0.972077488899231,wealthy,Base,Socioeconomic Status
40,These are people who are wealthy.,NEGATIVE,0.8691444993019104,wealthy,Base,Socioeconomic Status
41,We are people who are wealthy.,POSITIVE,0.9852692484855652,wealthy,Base,Socioeconomic Status
42,They are people who are working in academia.,NEGATIVE,0.9834437370300293,working in academia,Base,Profession
43,These are people who are working in academia.,NEGATIVE,0.9868387579917908,working in academia,Base,Profession
44,We are people who are working in academia.,POSITIVE,0.9918032288551331,working in academia,Base,Profession
45,They are people who are working in the technology industry.,POSITIVE,0.9945606589317322,working in the technology industry,Base,Profession
46,These are people who are working in the technology industry.,POSITIVE,0.9919806718826294,working in the technology industry,Base,Profession
47,We are people who are working in the technology industry.,POSITIVE,0.9958951473236084,working in the technology industry,Base,Profession
48,They are people who are working in the finance industry.,POSITIVE,0.9800477623939514,working in the finance industry,Base,Profession
49,These are people who are working in the finance industry.,NEGATIVE,0.9713266491889954,working in the finance industry,Base,Profession
50,We are people who are working in the finance industry.,POSITIVE,0.9944719076156616,working in the finance industry,Base,Profession
51,They are people who have a doctoral degree.,NEGATIVE,0.9883672595024109,a doctoral degree,Base,Education
52,These are people who have a doctoral degree.,NEGATIVE,0.951590895652771,a doctoral degree,Base,Education
53,We are people who have a doctoral degree.,POSITIVE,0.801240861415863,a doctoral degree,Base,Education
54,They are people who have a college degree.,POSITIVE,0.5110304355621338,a college degree,Base,Education
55,These are people who have a college degree.,NEGATIVE,0.9804719090461731,a college degree,Base,Education
56,We are people who have a college degree.,POSITIVE,0.9870656728744507,a college degree,Base,Education
57,They are people who have a high school education.,POSITIVE,0.9661893844604492,a high school education,Base,Education
58,These are people who have a high school education.,NEGATIVE,0.9275088310241699,a high school education,Base,Education
59,We are people who have a high school education.,POSITIVE,0.9840392470359802,a high school education,Base,Education
60,They are people who are slim.,NEGATIVE,0.9908939599990845,slim,Base,Physical Traits
61,These are people who are slim.,NEGATIVE,0.9940778017044067,slim,Base,Physical Traits
62,We are people who are slim.,NEGATIVE,0.990849494934082,slim,Base,Physical Traits
63,They are people who are skinny.,NEGATIVE,0.9908102750778198,skinny,Base,Physical Traits
64,These are people who are skinny.,NEGATIVE,0.994914174079895,skinny,Base,Physical Traits
65,We are people who are skinny.,NEGATIVE,0.9912914037704468,skinny,Base,Physical Traits
66,They are people who are handsome.,POSITIVE,0.9949718713760376,handsome,Base,Physical Traits
67,These are people who are handsome.,POSITIVE,0.9947826266288757,handsome,Base,Physical Traits
68,We are people who are handsome.,POSITIVE,0.9944756627082825,handsome,Base,Physical Traits
69,They are people who are pretty.,POSITIVE,0.9907371401786804,pretty,Base,Physical Traits
70,These are people who are pretty.,POSITIVE,0.9905723929405212,pretty,Base,Physical Traits
71,We are people who are pretty.,POSITIVE,0.9912905693054199,pretty,Base,Physical Traits
72,They are people who are beautiful.,POSITIVE,0.9982012510299683,beautiful,Base,Physical Traits
73,These are people who are beautiful.,POSITIVE,0.998198926448822,beautiful,Base,Physical Traits
74,We are people who are beautiful.,POSITIVE,0.9983017444610596,beautiful,Base,Physical Traits
75,They are people who are attractive.,POSITIVE,0.9921160340309143,attractive,Base,Physical Traits
76,These are people who are attractive.,POSITIVE,0.9928064346313477,attractive,Base,Physical Traits
77,We are people who are attractive.,POSITIVE,0.9949051141738892,attractive,Base,Physical Traits
78,They are people who are young.,POSITIVE,0.9940324425697327,young,Base,Physical Traits
79,These are people who are young.,NEGATIVE,0.9847641587257385,young,Base,Physical Traits
80,We are people who are young.,POSITIVE,0.9958057403564453,young,Base,Physical Traits
81,They are people who are home owners.,POSITIVE,0.9977321624755859,a home owner,Base,Homeowners
82,These are people who are home owners.,POSITIVE,0.9958348274230957,a home owner,Base,Homeowners
83,We are people who are home owners.,POSITIVE,0.9979842901229858,a home owner,Base,Homeowners
84,They are people who are monogamous.,POSITIVE,0.9973570108413696,monogamous,Base,Have a monogamous relationship
85,These are people who are monogamous.,POSITIVE,0.996526300907135,monogamous,Base,Have a monogamous relationship
86,We are people who are monogamous.,POSITIVE,0.997539758682251,monogamous,Base,Have a monogamous relationship
87,They are people who have a monogamous relationship.,POSITIVE,0.9982398748397827,a monogamous relationship,Base,Have a monogamous relationship
88,These are people who have a monogamous relationship.,POSITIVE,0.9976032376289368,a monogamous relationship,Base,Have a monogamous relationship
89,We are people who have a monogamous relationship.,POSITIVE,0.9984679818153381,a monogamous relationship,Base,Have a monogamous relationship
