Verb/Be_singular,Condition_plural,Condition,Category ,Pachankis_condition,Verb/Be_plural,Final_Category
was,none,obese,Physical Traits,Fat/overweight/obese(remitted;average severity),were,Physical Traits
Verb,none,cleft lip and palate,Physical Traits,Cleft lip and palate(current),Verb,Physical Traits
Be,none,short,Physical Traits,"Short (e.g., dwarfism)",Be,Physical Traits
Be,none,old,Physical Traits,Old Age,Be,Physical Traits
Be,none,unattractive,Physical Traits,"Unattractive(i.e.,facial features)",Be,Physical Traits
Verb,none,multiple facial piercings,Physical Traits,Multiple facial piercings,Verb,Physical Traits
Verb,none,multiple body piercings,Physical Traits,Multiple body piercings,Verb,Physical Traits
Verb,none,multiple tattoos,Physical Traits,Multiple tattoos,Verb,Physical Traits
Verb,none,chest scars,Physical Traits,Chest scars,Verb,Physical Traits
Verb,none,limb scars,Physical Traits,"Limb(i.e.,arm,leg) scars",Verb,Physical Traits
Be,none,homeless,Homeless,Homeless,Be,Homeless
Be,none,living in a trailer park,Living in a trailer park,Living in a trailer park,Be,Living in a trailer park
Be,none,living in a public housing,Living in public housing,Living in public housing,Be,Living in public housing
